,OPEN,HIGH,LOW,CLOSE,VOLUME,30dSMA,90dSMA,120dSMA,30dEMA,90dEMA,120dEMA,30dSDev,90dSDev,120dSDev,30dMOM,90dMOM,120dMOM,30-90MACD,30-120MACD,120dBBand_low,120dBBand_high,90dBBand_low,90dBBand_high,30dRSI,90dRSI,120dRSI,PVT,30dATR,90dATR,120dATR,30dSTOCH,90dSTOCH,120dSTOCH,OSC
2014-12-31,170.368527008,170.460349415,167.889322007,168.256611636,5929669.0,176.643058182,184.555599081,187.263467383,180.548427486,173.768177108,166.460590145,13.2737317054,14.1394037493,13.2583030551,-23.3688026927,-30.8064176951,-23.8738259336,-7.91254089865,-10.6204092002,174.005164327,200.521770438,170.416195332,198.69500283,38.7139689579,44.4315352697,46.4147821291,-65092.0009446,5.91795415932,5.7322688465,5.22431238981,40.7901675389,55.6060373258,64.3140660895,-414.574147522
2014-12-30,169.358480526,170.919461452,168.256611636,170.368527008,4451534.0,177.422018272,184.897892611,187.462415932,180.835735063,173.810790048,166.450182408,13.4491402028,14.1132607257,13.1493702309,-22.4046674146,-28.5108575092,-19.5581727841,-7.47587433884,-10.0403976599,174.313045701,200.611786163,170.784631885,199.011153337,39.0778871979,44.8102958382,47.0636889992,-999.231889451,5.93784901427,5.7251271037,5.22852091681,42.9672652377,56.1597091094,64.7540754742,-134.859049654
2014-12-29,170.322615804,171.88359673,169.588036544,170.047148582,5819699.0,178.168840519,185.214679917,187.625400705,181.080394453,173.83740408,166.427476008,13.6642957345,14.1034441539,13.0565964303,-16.2525661164,-29.8881936208,-20.2468408399,-7.04583939734,-9.45656018593,174.568804275,200.681997135,171.111235763,199.318124071,42.5253378378,44.5740956826,46.9607167471,71896.9372656,6.08629523962,5.71696511193,5.24879836512,45.0906602195,56.6784546528,65.129133675,24.7317111971
2014-12-26,168.945279692,171.562218304,168.118878025,170.322615804,6336635.0,178.710592723,185.546770957,187.794124379,181.338284351,173.866708638,166.40650034,13.6533698394,14.0941670472,12.9579801918,-15.7016316717,-28.6026799167,-19.0072383395,-6.83617823369,-9.08353165571,174.836144187,200.752104571,171.45260391,199.640938004,42.7787162162,44.821280133,47.1526822558,84119.2814872,6.3449283539,5.71339424053,5.24918095849,46.8132077488,57.2347084248,65.5145942759,49.8871845966
2014-12-24,167.889322007,168.853457285,166.971097932,168.164789229,3428029.0,179.233980446,185.864578512,187.952518032,181.595763397,173.894109982,166.383806768,13.6216537542,14.0694798224,12.858406352,-16.1148325052,-29.8422824171,-22.2669338035,-6.63059806593,-8.71853758615,175.09411168,200.810924384,171.795098689,199.934058334,42.5604069521,44.5724782899,46.6537877743,43536.4649446,6.45205449591,5.6929892611,5.25147651867,48.5744793625,57.7556730003,65.8805967501,44.3892379581
2014-12-23,167.200653951,168.945279692,166.603808303,168.027055618,7056980.0,179.771141529,186.196159427,188.138075813,181.909697537,173.938406541,166.373486099,13.4871705577,13.9991315251,12.7304820121,-16.0689213015,-26.0316525084,-26.1693861196,-6.42501789817,-8.36693428434,175.407593801,200.868557826,172.197027902,200.195290952,42.5847457627,45.3302586065,46.1097461097,24031.4606684,6.50867831383,5.71645498744,5.26984100016,50.0326675325,58.2889117609,66.3004116881,43.3622821135
2014-12-22,168.30252284,169.0371021,164.445981728,167.06292034,8695303.0,180.306772239,186.485400011,188.356154031,182.23418891,173.984110485,166.36390376,13.3227611297,13.887998924,12.6066206396,-17.124878987,-27.5008110274,-24.7002276006,-6.17862777154,-8.04938179195,175.749533391,200.962774671,172.597401087,200.373398935,42.0333190944,45.0585711929,46.3441152487,109449.734002,6.53316428915,5.73481946893,5.27596249399,51.1878391797,58.7065716613,66.7813282557,36.1735912019
2014-12-19,165.685584228,168.577990063,165.685584228,167.384298766,12648908.0,180.877601539,186.790964578,188.561989261,182.588800503,174.037622067,166.359852991,13.1007637773,13.757789705,12.456789455,-18.2267478763,-28.878147139,-24.470671582,-5.91336303895,-7.68438772239,176.105199806,201.018778716,173.033174873,200.548754283,41.6067653277,44.8366442292,46.375628995,457011.880843,6.50714794038,5.71492461399,5.25568504568,52.410741974,59.1570968601,67.2384480899,29.0245976252
2014-12-18,167.889322007,169.496214137,161.87495432,165.731495432,12511854.0,181.485159801,187.111832879,188.765911524,182.944188884,174.089062631,166.353916364,12.8741023208,13.6363103358,12.3065808229,-16.8953229684,-27.3171662125,-25.7561852861,-5.62667307795,-7.28075172303,176.459330701,201.072492347,173.475522543,200.748143215,42.3141186299,45.1428571429,46.1706484642,1281332.4383,6.56989325212,5.72716760165,5.24918095849,53.6965378048,59.6525200932,67.6925291135,12.2468419681
2014-12-17,154.34551691,163.206379227,153.656848854,161.461753486,17215958.0,182.048337234,187.415356948,188.980546402,183.346516522,174.153679671,166.357523279,12.5260324582,13.4579215598,12.1247283195,-13.9110947267,-31.5869081584,-30.7145952877,-5.3670197147,-6.93220916814,176.855818082,201.105274721,173.957435388,200.873278508,43.8389589264,44.2970822281,45.3842969505,597352.9569,6.54999839718,5.6679931613,5.21015643533,54.9137516731,60.0822440866,68.1638389464,-11.1106800022
2014-12-16,154.896451354,162.288155153,152.37133515,153.014092002,16256657.0,182.512040391,187.766322594,189.236501362,183.85804861,174.25180809,166.385894209,11.9833897827,13.1825351608,11.8602304943,-29.4749927873,-42.2383074211,-41.5037281616,-5.25428220334,-6.72446097131,177.376270868,201.096731857,174.583787434,200.948857755,36.7901234568,42.1981004071,43.646331178,-306991.272653,6.47194935086,5.60626809852,5.17304487899,55.9805611037,60.5906083641,68.7046331941,-42.957006279
2014-12-15,157.146100337,157.9265908,153.656848854,156.411521077,15666530.0,183.494540151,188.235637121,189.582365764,184.57899192,174.416008847,166.46338381,10.6112492104,12.6734494318,11.3909213977,-27.3171662125,-34.4334027889,-38.657233531,-4.74109697067,-6.08782561308,178.191444366,200.973287161,175.56218769,200.909086553,37.5157364666,43.6633997972,44.0300623936,-1617551.12856,6.28983490944,5.55015440509,5.12215996153,58.0118802399,61.3204870312,69.397833762,-35.0760586953
2014-12-12,166.741541914,166.833364321,154.804628947,155.95240904,22908809.0,184.405112358,188.618230486,189.904509377,185.237375342,174.555211721,166.52163448,9.29784983439,12.2133250809,10.9843127594,-22.4964898221,-35.6730052893,-37.7849206604,-4.21311812791,-5.49939701875,178.920196617,200.888822136,176.404905405,200.831555567,40.152733119,43.4430379747,44.1804553811,-1738857.99232,6.32962461933,5.55066452957,5.10723882032,59.9749808259,61.8559416882,70.0525071991,-42.0184411605
2014-12-11,171.837685527,172.204975156,167.384298766,168.164789229,8420414.0,185.154995352,189.014597211,190.219383715,185.921878981,174.699040534,166.582883399,7.69258656269,11.7097674681,10.5352581225,-6.28983490944,-21.6700881552,-28.1894790832,-3.85960185927,-5.06438836352,179.684125593,200.754641838,177.304829743,200.724364679,47.0333477696,45.8581958582,45.5260856893,-744012.105333,6.11078121494,5.46394336699,5.0356938612,61.7089830323,62.4232007309,70.6932144714,-84.9230580716
2014-12-10,175.648315435,175.969693861,167.751588396,169.679858952,14102882.0,185.364656515,189.255375968,190.454296041,186.336931279,174.749560545,166.573716197,7.28866114808,11.4970933747,10.3520458727,-7.52943740984,-22.8178682481,-24.7461388043,-3.8907194529,-5.08963952557,180.102250168,200.806341914,177.758282594,200.752469343,46.4897260274,45.6578717456,46.077717945,-724948.165756,6.14904055137,5.45578137522,5.01732937971,63.1869055603,62.7119675782,71.2085218717,-80.0210290026
2014-12-09,176.015605065,178.402987658,172.342708767,178.127520436,10943275.0,185.615637762,189.508907838,190.660513864,186.726271889,174.788757297,166.555715949,6.84614196829,11.310643197,10.1797755004,7.75899342843,-11.1105112999,-14.4620291713,-3.89327007533,-5.04487610194,180.480738364,200.840289365,178.198264641,200.819551035,53.6723163842,47.8431372549,47.6586888658,-601073.788985,6.03426254207,5.39354618796,4.95687962815,64.7150922053,63.0524891961,71.6733649444,-108.30004787
2014-12-08,186.804737939,187.539317198,177.852053214,179.04574451,12484380.0,185.357004648,189.632357963,190.781030774,186.927258176,174.762943411,166.488656637,7.27209092991,11.2454703034,10.1155567084,0.780490463215,-10.6513992627,-15.6098092643,-4.27535331517,-5.42402612598,180.665474066,200.896587483,178.38688766,200.877828267,50.3465144721,47.9285714286,47.4822274882,-461825.27684,6.10619009457,5.36497921675,4.92474178554,65.3745637682,63.1399073569,71.9933865873,-112.817581775
2014-12-05,186.667004328,190.064433403,186.299714698,187.217938772,8608569.0,185.330988299,189.750706844,190.911112518,187.111479826,174.729830622,166.415887394,7.29680257052,11.1887086142,10.0636121489,11.3859785222,-8.95268472512,-5.05023240904,-4.41971854464,-5.58012421863,180.847500369,200.974724667,178.56199823,200.939415458,55.3264604811,48.2473485529,49.1699366133,127588.750285,5.97457797724,5.33284137415,4.87730020837,66.2096479186,63.2241480057,72.3323698831,-29.3048248314
2014-12-04,182.213617567,186.024247476,182.075883956,185.427401827,5086243.0,184.951455682,189.850181119,190.953197788,187.108991466,174.633277882,166.295337727,7.48885633367,11.2057222011,10.0585963838,9.91682000321,-15.1966084308,-8.21810546562,-4.89872543677,-6.00174210611,180.894601404,201.011794172,178.644458918,201.05590332,54.7038327526,47.055684042,48.6474233036,169321.298575,6.05721814393,5.3598779719,4.86008350697,66.1172714763,63.3515275597,72.5218981056,-28.3934596304
2014-12-03,181.111748678,184.96828979,180.698547844,183.820509697,8070463.0,184.620895015,190.019032324,191.021682,187.14829676,174.54982229,166.184465542,7.68346089908,11.2527245871,10.0486293572,5.55525564994,-17.951280654,-10.284109633,-5.39813730833,-6.40078698509,180.973052643,201.070311358,178.766307736,201.271756911,52.6066350711,46.5157725896,48.3009708738,289381.55005,6.33727648662,5.34610461078,4.85281423305,66.179481063,63.6451087557,72.7572570123,-41.1189038675
2014-12-02,177.943875621,181.892239141,177.760230806,181.01992627,9236682.0,184.435719827,190.218490997,191.107382914,187.226080096,174.478145249,166.082262718,7.7698720315,11.3006136088,10.030535541,10.5595768553,-20.7977752845,-11.248244911,-5.78277117059,-6.67166308703,181.076847373,201.137918455,178.917877389,201.519104606,54.7325102881,45.9196541164,48.1357479836,-14436.4108143,6.50255682,5.32825025378,4.84707533259,66.5535723055,64.0026217004,73.0218451221,-61.0714595173
2014-12-01,178.908010899,181.800416733,174.362801731,177.852053214,12783599.0,184.083733932,190.44957739,191.201118288,187.371142065,174.427566949,165.99569712,8.15936724348,11.3230233068,9.98794308237,9.50361916974,-24.5624939894,-18.3644814874,-6.36584345782,-7.11738435647,181.213175206,201.189061371,179.126554083,201.772600696,54.2999584545,45.1319381256,46.964177292,-1149491.06753,6.4704189774,5.31498701715,4.86199647379,66.7539574853,64.4130893445,73.296989783,-81.8428078742
2014-11-28,187.30976118,187.631139606,179.504856548,180.377169418,13310511.0,183.766946626,190.722493989,191.354155634,187.59364022,174.401090256,165.926987928,8.58313931131,11.3119831216,9.92216271784,17.951280654,-22.2669338035,-17.1707901907,-6.95554736336,-7.58720900785,181.431992916,201.276318352,179.410510868,202.034477111,57.8798871423,45.5463728191,47.1502590674,-920063.768555,6.51633018112,5.26907581343,4.82297195063,67.0323340916,64.8997576961,73.6763721565,-105.715566655
2014-11-26,192.86501683,194.701464978,190.799012662,194.563731367,5729990.0,183.168570604,190.969904365,191.497245552,187.762317229,174.354885706,165.843246982,9.41320913054,11.3266691289,9.88627784307,35.2138932521,-0.780490463215,-2.24964898221,-7.80133376075,-8.32867494791,181.610967709,201.383523395,179.643235236,202.296573494,67.1281822242,49.8394711992,49.6091880683,-110913.047824,6.32962461933,5.20275963028,4.72273248918,66.5780966865,65.3467855413,74.0417435715,-37.7731560303
2014-11-25,197.31840359,197.869338035,192.86501683,192.86501683,7953751.0,181.994774163,190.978576481,191.515992627,187.603341709,174.198639311,165.676807146,10.1128035335,11.3297499793,9.8942713418,34.249757974,-0.459112037185,-4.59112037185,-8.98380231875,-9.5212184645,181.621721285,201.410263969,179.648826502,202.308326461,66.8169522092,49.9056959638,49.1994876721,-297386.711707,6.62651707004,5.18847614468,4.70781134797,64.5417804329,65.474814021,74.2009117698,-48.2399764844
2014-11-24,197.915249239,199.338496554,196.124712294,196.859291553,10190598.0,180.853115563,190.983677726,191.554251963,187.480355883,174.054318608,165.519246739,10.7561259106,11.330712214,9.90839803335,33.8365571406,4.31565314954,1.7446257413,-10.1305621627,-10.7011364001,181.64585393,201.462649997,179.652965512,202.31438994,66.5469241132,50.8983180428,50.305958132,322353.474246,6.75812918737,5.15582817759,4.68638611957,61.9082108699,65.5621281864,74.4025879744,23.4350122072
2014-11-21,201.542234332,203.929616926,197.088847572,199.522141369,14188311.0,179.725230325,190.935726024,191.539713416,187.261133654,173.87799996,165.337625319,10.7938267197,11.3146877757,9.90182632178,24.1952043597,7.16214778009,5.05023240904,-11.2104956991,-11.8144830902,181.637887094,201.441539737,179.621038249,202.2504138,60.8124743537,51.506373117,50.8919883231,458358.590369,7.10399358872,5.15072693273,4.69403798686,59.031265255,65.5480569467,74.5340771177,59.5072822719
2014-11-20,191.074479885,193.599596089,189.375765347,193.278217663,6442816.0,178.918723513,190.856146605,191.497628146,186.974546184,173.679729989,165.139519211,10.148225363,11.2787481586,9.87831835558,14.9211412085,-1.01004648181,-1.79053694502,-11.9374230913,-12.5789046322,181.61930979,201.375946501,179.577398446,202.134894763,56.8652302493,49.7836349331,49.6773125931,-103595.749744,7.00758006091,5.0624753967,4.63932713576,56.3835422686,65.4783956553,74.620017563,36.6075022374
2014-11-19,196.170623497,197.502048405,192.405904792,193.278217663,7495463.0,178.42135214,190.867369343,191.512549287,186.827204847,173.528202497,164.976449457,9.77912429827,11.2816874133,9.88238198879,6.79485815034,1.42324731527,-1.33142490784,-12.4460172036,-13.091197147,181.630167298,201.394931276,179.58568193,202.149056757,52.9088050314,50.3017325287,49.760449364,208974.227417,7.25397018753,5.04972228455,4.62440599455,53.6436601315,65.5924637317,74.8003478861,38.1387652357
2014-11-18,191.487680718,196.492001923,190.753101459,195.986978682,13732768.0,178.194856868,190.851555484,191.523644494,186.676419571,173.375503422,164.812434307,9.49779901118,11.2792673323,9.88512804033,11.7991793557,4.31565314954,3.16787305658,-12.6566986162,-13.3287876262,181.638516454,201.408772535,179.572288152,202.130822817,55.0690335306,50.924832743,50.5718547986,277346.108533,7.31518512582,5.03186792755,4.61216300689,51.4072736459,65.6198029586,74.9777276182,78.9471786062
2014-11-17,192.86501683,193.094572848,189.926699792,191.625414329,5915957.0,177.80155089,190.803603783,191.497245552,186.458795567,173.200680664,164.631770356,8.9649748899,11.266355939,9.87733516585,2.84649463055,-0.505023240904,-2.80058342683,-13.0020528931,-13.6956946626,181.619910386,201.374580718,179.537247844,202.069959722,51.2204724409,49.8899339604,49.4893688264,462348.941818,7.2799865363,4.99309846663,4.5895899984,48.6508755736,65.5907065391,75.112398771,47.4622871954
2014-11-14,188.962564514,193.415951274,187.677050809,192.773194422,14319605.0,177.706667735,190.809215152,191.520583747,186.338031578,173.058228063,164.475335365,8.82763257541,11.2668956066,9.88094850051,3.44334027889,2.84649463055,1.56098092643,-13.1025474168,-13.8139160122,181.639635247,201.401532248,179.542319545,202.076110759,51.4839730906,50.6175298805,50.2824858757,522221.407721,7.28610803013,4.99207821766,4.60412854624,46.5377756642,65.6583055266,75.3279663018,72.5586386409
2014-11-13,188.227985254,192.681372015,182.6268184,186.299714698,16645308.0,177.591889726,190.777587434,191.507575573,186.187616777,172.905799868,164.311341738,8.6454868151,11.2653156417,9.88031308077,-2.11191537105,-3.99427472351,-1.05595768553,-13.185697708,-13.9156858471,181.627262492,201.387888654,179.512271792,202.042903076,49.0440565254,49.109883364,49.8070793491,143912.359042,7.13919217823,4.96963274029,4.58461628466,44.4076289132,65.6262177701,75.5280431784,15.2821672829
2014-11-12,187.722962013,190.936746273,185.060112197,186.024247476,12597476.0,177.662286905,190.821968264,191.51637522,186.184996613,172.802243479,164.183912966,8.72705013616,11.2553399075,9.87610519098,-2.52511620452,-3.30560666774,-0.183644814874,-13.1596813592,-13.8540883154,181.640270029,201.392480411,179.566628357,202.077308172,48.8555971702,49.2656058752,49.9665551839,124455.904179,7.11929732329,4.88393182668,4.52378393973,42.5894581707,65.7264499785,75.8001506369,26.4156828552
2014-11-11,184.417355345,186.437448309,182.856374419,184.279621734,5204898.0,177.746457445,190.858697227,191.517905594,186.188753945,172.700016212,164.057341823,8.82213953646,11.2448965058,9.87526118717,-13.4060714858,-6.15210129828,2.20373777849,-13.112239782,-13.7714481487,181.642644407,201.393166781,179.613800721,202.103593733,44.3057722309,48.6292962357,50.3978779841,1719.90381447,7.22795383876,4.85128385959,4.50580205161,39.7990819668,65.7973914925,76.0937452882,24.0994247581
2014-11-10,184.509177753,185.748780253,182.672729604,184.095976919,6965010.0,178.193326495,190.927053908,191.499541112,186.233377796,172.610487295,163.940147505,9.47951396117,11.2231315135,9.89087168803,-18.0890142651,-10.1004648181,1.28551370412,-12.7337274136,-13.3062146177,181.608669424,201.3904128,179.703922395,202.150185422,42.5884123401,47.7849375755,50.231634679,-54659.3643882,7.31671549928,4.85689522894,4.49317647059,37.8860998603,65.9397390371,76.3597700563,29.9325147551
2014-11-07,185.748780253,187.080205161,183.269575252,184.187799327,6675506.0,178.796293637,191.039281295,191.488828498,186.283337173,172.521686024,163.823338012,10.3986504008,11.2045407837,9.89964999291,-18.6858599134,-7.57534861356,2.29556018593,-12.2429876583,-12.6925348614,181.589178505,201.388478491,179.834740511,202.243822079,42.3811306627,48.3555909906,50.4124051468,154445.632481,7.33661035422,4.85689522894,4.48935053695,37.633909945,66.2196532174,76.6386595189,43.4170086261
2014-11-06,182.443173586,186.024247476,181.249482289,185.611046642,12584177.0,179.419155634,191.123451835,191.46969883,186.332318048,172.431488221,163.705319149,11.2569342053,11.1809217013,9.91608103791,-13.543805097,-6.24392370572,5.55525564994,-11.7042962013,-12.050543196,181.553617792,201.385779868,179.942530134,202.304373537,44.579198824,48.6367281476,50.9965409323,555774.851639,7.34885334188,4.83853074745,4.49164609713,37.7673134048,66.4142726802,76.9033707009,76.0048607089
2014-11-05,178.17343164,182.810463215,176.933829139,182.6268184,8465077.0,179.870615804,191.192828765,191.423405033,186.349176968,172.329589031,163.57836783,11.7735562279,11.1656944626,9.95654728539,-18.3185702837,-8.86086231768,4.22383074211,-11.3222129615,-11.552789229,181.466857747,201.379952318,180.027134303,202.358523228,42.5974025974,48.0429933076,50.7613373055,-121033.004434,7.31824587274,4.80894352727,4.48361163648,37.0013361796,66.5869183482,77.122602034,44.6171623514
2014-11-04,180.744459048,182.902285623,175.051469787,175.372848213,12082835.0,180.481234813,191.291282791,191.388206443,186.436182975,172.249974862,163.467975159,12.3808053513,11.1283175781,9.99529716603,-22.2210225998,-16.803500561,-1.33142490784,-10.8100479778,-10.9069716301,181.392909277,201.383503609,180.162965213,202.419600369,40.7279693487,46.1779448622,49.7551089343,-529859.816156,7.2157108511,4.76354244804,4.46218640808,36.8035467956,66.8016638512,77.3598182964,4.82089053487
2014-11-03,183.269575252,186.253803494,181.800416733,182.489084789,8698003.0,181.221935567,191.477988353,191.399301651,186.694776167,172.225830016,163.398981941,12.7245804243,10.9984476504,9.97809420562,-15.4261644494,-12.0287353743,-1.51506972271,-10.2560527862,-10.1773660843,181.421207445,201.377395857,180.479540702,202.476436003,43.1762794476,47.2032450897,49.7215189873,278538.499713,7.04583939734,4.7400767217,4.469455682,36.4448005258,67.1832990409,77.6733542069,62.1642704172
2014-10-31,180.744459048,183.912332105,179.321211733,183.72868729,11397637.0,181.736141048,191.611640968,191.411927232,186.793079543,172.146478487,163.288347343,13.0841603346,10.9610101807,9.96767819413,-17.0789677833,-11.3400673185,0.413200833467,-9.87549991986,-9.67578618368,181.444249038,201.379605426,180.650630787,202.572651149,42.5540432346,47.3548939816,50.0761035008,542266.446047,7.03512678314,4.7329349789,4.4640993749,35.7334283793,67.5148089316,77.9912233797,84.580766547
2014-10-30,174.638268953,180.331258214,173.536400064,178.448898862,8955503.0,182.305439974,191.737641716,191.408483892,186.864706317,172.056929292,163.169887304,13.5375488878,10.9345216915,9.97042566948,-22.8178682481,-15.2884308383,-5.1879660202,-9.43220174173,-9.10304391729,181.438058222,201.378909561,180.803120025,202.672163408,39.6155453406,46.3670085097,49.0267011197,-79582.7580014,7.00298894054,4.69977688732,4.43923080622,35.6038084237,67.847028844,78.282286848,31.1017595413
2014-10-29,177.07156275,177.760230806,171.791774323,174.454624138,18310117.0,183.066035583,191.90751317,191.451716942,187.061416491,172.007509024,163.081339033,13.9481744125,10.8441389175,9.92490293835,-29.3831703799,-21.8996441737,-5.27978842763,-8.84147758722,-8.38568135919,181.526814003,201.37661988,181.063374252,202.751652087,36.4521591871,44.7616955853,49.009133207,165797.017341,6.93106138804,4.67733140995,4.41512742427,35.9139405126,68.2365999468,78.650801299,3.90372569964
