,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,90.6071435344,90.6483872132,88.5450627034,88.9987225482,3205600.0,89.6784392126,89.3172886946,1.23269248764,-2.62327377504,0.686012923611,88.445746725,90.9111317002,41.3793636606,-42209.1201801,1.12825075504,36.1027677022
2013-12-31,90.256594843,90.937077399,90.0297638876,90.4834257985,2160600.0,89.7721275617,89.325273304,1.27797525152,-1.76984863864,0.907164602478,88.4941523102,91.0501028132,47.1761306393,1808.68006905,1.08274176031,35.440422115
2013-12-30,90.4215541875,90.504039481,89.4317574705,90.0503796454,3131400.0,89.8353364417,89.2962451244,1.35585471963,-4.17817811031,1.11212321052,88.479481722,91.1911911613,37.0888733811,17252.174671,1.12848044814,33.234124292
2013-12-27,89.8441759841,90.4215565564,89.6173470919,90.2978378922,2667600.0,89.9845570885,89.2773433369,1.59008401891,-4.05290719818,1.31315586918,88.3944730696,91.5746411074,40.0357479183,35815.2214107,1.16243499728,33.8302316546
2013-12-26,88.9574808643,89.6585883464,88.8543788848,89.4317594552,1721600.0,90.1293037741,89.2517654451,1.79138599328,-4.57279743305,1.4843690034,88.3379177808,91.9206897674,44.6391167618,27601.3801086,1.21100887631,32.8947800314
2013-12-24,88.2357554658,89.39051453,88.1945117875,88.916238007,2035800.0,90.2926179682,89.247254037,1.9286239373,-4.61995259059,1.64176387861,88.3639940309,92.2212419054,39.7964580657,23713.9927448,1.21756560554,31.2042831922
2013-12-23,88.6069320292,88.7925110569,87.8233392457,88.1532721811,2888600.0,90.457616275,89.255550693,2.00271108029,-4.3239985004,1.7902956389,88.4549051947,92.4603273553,40.6569646131,-1126.78405038,1.24991976302,30.3993360454
2013-12-20,88.1326466206,88.3594775788,87.9058259727,87.9676842748,6168400.0,90.6120447928,89.2831784352,1.98507625248,-4.00049100444,1.93607945549,88.6269685404,92.5971210453,41.3966862219,-5073.4122657,1.25342110902,29.4614253155
2013-12-19,88.1738849931,88.4419575548,87.6377481181,88.0707830168,4583800.0,90.7549194716,89.3161502597,1.93092884135,-3.7752141739,2.04534001019,88.8239906302,92.6858483129,38.0984182533,40502.4502054,1.29229105885,27.6681349838
2013-12-18,87.9264387685,88.3388569895,86.400494856,88.0295407462,8148400.0,90.8897485492,89.3473644083,1.86732112115,-3.28699186345,2.20007508795,89.022427428,92.7570696704,36.8465613989,25997.2952778,1.29302941187,26.2797251952
2013-12-17,87.6583663409,88.1326428625,87.4109187072,87.617122663,4387800.0,91.0071411158,89.3803946199,1.78223193531,-5.18596704181,2.32526165502,89.2249091804,92.7893730511,32.6594845483,-36072.9912541,1.21130259284,25.277960147
2013-12-16,88.5863071441,88.6481654453,87.7820956141,87.8645809098,4234200.0,91.1923542244,89.424589642,1.68362665509,-4.20542177142,2.4313713925,89.5087275693,92.8759808795,33.1350286308,-38638.1678934,1.23829714577,26.4045816209
2013-12-13,88.833752874,88.833752874,88.008924675,88.3594742881,4277800.0,91.3425478591,89.4636900315,1.5587118289,-2.95705832151,2.54765714106,89.7838360302,92.901259688,34.2121614589,-184581.847915,1.25498129427,27.8888014778
