,OPEN,HIGH,LOW,CLOSE,VOLUME,14dSMA,28dSMA,60dSMA,14dEMA,28dEMA,60dEMA,14dSDev,28dSDev,60dSDev,14dMOM,28dMOM,60dMOM,30-60MACD,30-90MACD,60dBBand_low,60dBBand_high,28dBBand_low,28dBBand_high,14dRSI,28dRSI,PVT,14dATR,28dATR,14dSTOCH,28dSTOCH,OSC
2017-01-04,251.588808093,252.941701351,249.58280087,250.095965509,6703400.0,247.514907991,241.221791422,228.177641938,239.146125572,239.742154323,250.235627575,1.94612512244,6.86620416208,16.5932771917,10.9399423314,13.8133470778,19.0040167262,12.7426784323,11.4940293617,211.584364746,244.770919129,234.35558726,248.087995584,67.3554594885,61.1709498923,202220.502589,4.21237414237,4.16689732109,82.3336625796,84.9209459825,194.704577578
2017-01-03,246.617615763,250.788696586,245.690723847,249.722759528,10061700.0,246.733483539,240.728457597,227.860908326,238.590348503,239.482644204,250.23725037,2.82702069154,6.69919393117,16.3473602777,13.4401410968,12.6059266651,20.3919358028,12.6314086327,11.1265304453,211.513548048,244.208268603,234.029263666,247.427651529,69.7547497833,60.1190487782,131750.00928,4.23397296329,4.15286934644,83.4519523716,84.8808705465,-81.8793128882
2016-12-30,246.98838846,247.451832102,243.975935265,245.041876961,7008900.0,245.773473461,240.278245931,227.521042729,238.025304739,239.225983783,250.243228465,3.83585049775,6.4927578247,16.0951749222,6.48833239536,7.78601380285,16.9160244544,12.5433526131,10.7636603777,211.425867807,243.616217651,233.785488106,246.771003755,60.263900922,56.7415753938,-40536.7256122,4.03534953318,4.0221086289,82.917680946,84.8449119799,-344.689457225
2016-12-29,246.756660548,248.517772334,245.922445311,247.173772801,3642700.0,245.310021147,240.000174009,227.239108988,237.669167119,239.080213004,250.303665259,4.29547028566,6.44775860511,15.9303790668,17.0087299789,10.2886617631,18.8625465656,12.4792418663,10.3657093386,211.308729921,243.169488055,233.552415404,246.447932614,72.4602077864,59.1887491717,-36988.7572337,4.47563045903,3.99562560528,85.578050432,85.4691315766,701.145240903
2016-12-28,248.981232385,249.676402474,245.505335592,245.829752626,4249100.0,244.095111862,239.632721803,226.924733212,237.186745282,238.877354306,250.340032857,5.85134158806,6.31561692843,15.7149773868,15.6183570423,11.1692102965,20.049972218,12.4522068758,10.0267640949,211.209755825,242.639710599,233.317104875,245.948338732,71.3561153773,59.8206998267,-78933.6371606,4.49549290826,4.07176405827,82.1937622529,85.7648683482,873.533891964
2016-12-27,250.464283192,251.113112629,248.981233886,249.166619683,4251900.0,242.979514931,239.233821436,226.590567008,236.748055282,238.70309792,250.392439789,6.8915856547,6.26221307362,15.518103958,15.2939576835,12.2351698789,26.7927922878,12.469680365,9.69606898352,211.07246305,242.108670966,232.971608362,245.496034509,70.7286464252,60.9634739815,64464.941668,4.75039217667,4.05355747875,79.1427471164,86.0453444292,-44.6795261884
2016-12-23,246.942026434,251.947327098,246.571273378,250.46428243,5412800.0,241.887089382,238.796851083,226.14402047,236.117730696,238.440837993,250.406683133,7.04583009161,5.96318168631,15.2404568565,18.8161938034,14.1353112371,28.3205813844,12.4589528915,9.29306451679,210.903563614,241.384477327,232.833669397,244.760032769,74.8774405645,62.825911398,92834.8330473,4.76032426169,4.14790391193,75.7610869323,86.0695607376,22.837548933
2016-12-22,246.432250722,247.544528446,245.412645043,246.524922767,4812000.0,240.543075539,238.292018539,225.67201078,235.389547954,238.139479833,250.406013861,7.07839645446,5.52077886015,14.9094326935,12.9766787861,11.0765234325,18.7660063017,12.4752338172,8.92545716197,210.762578087,240.581443474,232.771239679,243.812797399,68.1347033044,60.641146844,-29560.4364259,4.61466692599,4.09162696773,70.2252967818,85.8597518319,57.3836728277
2016-12-21,248.703159772,250.325254233,246.154168756,246.200509412,4471200.0,239.616169911,237.896428416,225.359244009,234.824353758,237.929305314,250.451109967,7.08446332826,5.30149061465,14.6593070252,13.3937883345,9.40808990399,15.4498757612,12.4079693627,8.53301087627,210.699936983,240.018551034,232.594937801,243.197919031,68.5019105479,58.8646297807,-57731.5424464,4.73053081455,4.15617917047,67.0627155123,86.0741987351,76.1913673404
2016-12-20,249.027571535,250.09351323,247.359141055,248.193356295,3918800.0,238.659470745,237.560425205,225.101746079,234.246938336,237.721994101,250.500499567,7.03106463681,5.04775931208,14.4207666248,12.4205389417,13.0693703152,18.6394179157,11.8111691514,7.63098614355,210.680979454,239.522512704,232.512665893,242.608184517,66.7082235577,62.390162525,104821.427271,4.76363376361,4.2273516338,62.9417011937,86.4557458069,88.9520986046
2016-12-19,247.822603412,251.576558089,247.729908195,249.583710571,8399100.0,237.772289392,237.09366198,224.791089114,233.539065039,237.45953766,250.52730728,6.49902260472,4.61372072497,14.1123585589,14.1816453388,29.0121453768,15.4271425677,11.117678148,6.57056998326,210.678730555,238.903447673,232.479941255,241.707382705,69.6153601452,72.0112538588,119746.073536,4.79673721113,4.81494369637,59.4621117082,86.4987812989,98.5759451595
2016-12-16,247.26644549,247.868938908,243.929598439,245.876091393,12218200.0,236.759314724,236.057513931,224.533970071,232.724692764,237.15565482,250.538271346,5.55273652169,4.95031163099,13.7898468457,9.77886068556,27.807174159,11.9956852724,10.0755842201,5.21314947332,210.744123226,238.323816917,231.1072023,241.007825562,64.7552510561,71.489976109,30531.0392743,4.63783936368,4.82984054181,56.8140248133,85.3540974852,37.9246679517
2016-12-15,245.366287739,251.344834899,244.300350683,246.01514035,13210800.0,236.060824676,235.064400568,224.334041983,232.057171976,236.937083949,250.592443268,4.89363620485,5.64774708626,13.5602260715,7.739675036,35.407818899,14.3900135077,8.97629933729,3.8344779345,210.773815912,237.894268055,229.416653481,240.712147654,61.001335905,74.5817444561,362285.582231,4.59811525203,5.03508427945,57.0200712687,84.1906423151,43.8697528601
2016-12-14,239.758512011,245.41264213,239.619480772,245.319951549,12603900.0,235.507990744,233.799835607,224.094208425,231.348712419,236.709549619,250.645628966,4.04643486589,6.92466018183,13.2949224534,8.1104224919,38.4202492762,15.3977942155,7.9678994108,2.45565638575,210.799285972,237.389130878,226.875175425,240.724495789,61.4080855637,75.6022386027,408792.884412,4.23728405745,4.98873933951,57.8469214201,82.1487925267,71.3222235059
2016-12-13,238.368162488,239.943902404,236.977808373,239.156023177,6902800.0,234.928674852,232.427683847,223.837578521,230.639579283,236.49373668,250.707510356,2.97139461908,8.23915784207,13.0241132964,2.87340474638,30.5878873762,11.4431282502,7.03500015353,1.1948087438,210.813465225,236.861691818,224.188526005,240.666841689,54.7400590911,71.6820062452,-106.973587212,4.12142049982,4.89439389882,57.0752993621,79.1996588109,165.365103404
2016-12-12,237.580300495,238.22912994,235.587452963,236.282618431,8829300.0,234.723431656,231.335259298,223.646859717,230.207313217,236.427008567,250.841732172,2.74775937178,9.27651957463,12.878970517,-0.834214431696,26.648541708,6.17637028137,6.25864744514,-0.0644675258261,210.7678892,236.525830234,222.058739723,240.611778873,48.5245905968,69.3863889897,345380.045827,4.07176572959,4.83811742558,56.5240102967,76.6083743113,108.796827334
2016-12-09,229.840625221,239.202374006,229.562544206,238.553544566,11782800.0,234.783018401,230.383525666,223.543920212,229.898951146,236.430627592,251.010900925,2.79284743258,10.0821728729,12.8007087471,1.2976814075,28.4096667656,6.74430824729,5.5041992471,-1.86171641942,210.743211465,236.34462896,220.301352793,240.465698539,52.4822978572,71.2110882212,427781.8597,4.00886772462,4.89439410324,57.3335632462,74.3560513971,65.4277316674
2016-12-08,228.774684088,231.045594084,228.079500087,230.165042822,8191200.0,234.690326872,229.36889471,223.431515075,229.459673075,236.377418351,251.155648434,2.67722255219,10.6434199377,12.6958548243,-6.72006821582,19.6040554728,1.76176418086,4.83182388,-3.53453284047,210.735660251,236.127369899,218.725474772,240.012314647,31.4577508663,66.614306906,-192808.833625,3.51562075153,4.71066730142,56.930739387,71.921014721,158.085342908
