,OPEN,HIGH,LOW,CLOSE,VOLUME,14dSMA,28dSMA,60dSMA,14dEMA,28dEMA,60dEMA,14dSDev,28dSDev,60dSDev,14dMOM,28dMOM,60dMOM,30-60MACD,30-90MACD,60dBBand_low,60dBBand_high,28dBBand_low,28dBBand_high,14dRSI,28dRSI,PVT,14dATR,28dATR,14dSTOCH,28dSTOCH,OSC
2017-01-04,132.976049848,133.604212647,132.19083997,132.661959615,4489200.0,133.145706214,131.974908263,128.509228366,130.691920098,127.501920361,120.181543652,1.27580009274,2.55394756461,4.43362375418,0.569276278255,-1.78635139299,6.15354322838,3.58346092544,5.22716075776,124.075604612,132.94285212,129.420960699,134.528855828,52.0743988449,47.1686212428,37931.3689988,1.87467850946,2.13968607914,70.700621895,72.6346439578,195.654065044
2017-01-03,132.740482174,134.271631817,131.798242883,132.838638807,4826400.0,133.105043622,132.038706527,128.406669312,130.591927514,127.372588044,120.036528204,1.30122293232,2.59374758086,4.40702660474,3.63157556524,-0.196297561984,6.15484274423,3.62778387113,5.26003292509,123.999642708,132.813695917,129.444958946,134.632454108,61.0513798641,49.700604396,-30154.939228,2.03592531903,2.15651178075,72.2650648595,73.7046252165,192.193587545
2016-12-30,134.507197529,134.566086012,131.248586939,131.641197767,4282800.0,132.845645368,132.045717154,128.3040886,130.477892,127.235585789,119.887774844,1.66854634373,2.59625386772,4.37362219793,1.92376047158,0.726321394696,5.65895377727,3.63221383953,5.25322128527,123.930466402,132.677710798,129.449463287,134.641971022,56.1097558163,51.0774707412,-69446.8068585,1.96020889058,2.14178973001,70.8656677665,74.7986745823,229.426481483
2016-12-29,133.349010897,134.448311008,133.270504043,133.957557288,3141500.0,132.708233905,132.019777105,128.209772704,130.41884651,127.125162596,119.751206648,1.84522783036,2.60406196988,4.3614385595,3.96529987295,4.06344080189,9.94356353967,3.61071159615,5.21370507596,123.848334144,132.571211263,129.415715135,134.623839075,64.4699850988,56.2689377948,-26582.9385462,1.87607996186,2.12145850447,70.4290455318,76.0277553884,139.847772634
2016-12-28,135.547593452,135.724272643,133.623846722,133.761257763,2623300.0,132.4249982,131.874654219,128.044046645,130.239233446,126.953914008,119.586136805,1.94057603601,2.6052972307,4.32812296968,3.63158930635,5.59460418648,9.61083644352,3.57228391131,5.11115761485,123.715923675,132.372169614,129.269356988,134.47995145,63.3094263239,58.2417851264,-16757.2511395,1.89010233801,2.19507177279,68.0516102151,76.639665506,157.510346271
2016-12-27,134.487563454,135.920572168,133.977191363,135.370929965,2017200.0,132.165598964,131.674846926,127.883866037,130.06046733,126.783293301,119.421429833,1.99029910948,2.66900343409,4.29062952904,6.87055208048,7.53798499179,10.2071611038,3.46876579387,4.94103785961,123.593236508,132.174495566,129.005843492,134.343850361,75.1437576383,61.5384888129,18892.547103,1.92375360103,2.17193659082,65.9483568702,77.1235108103,117.785974922
2016-12-23,133.87903473,134.42867497,133.66310113,134.409040896,1690800.0,131.674845244,131.405633177,127.713746686,129.790926097,126.568050955,119.236105569,1.98619711684,2.66254190388,4.18991317076,7.59685777106,8.5587448774,9.90785826202,3.31040699515,4.72705532208,123.523833515,131.903659856,128.743091273,134.068175081,76.3984260242,62.7039819524,5981.88583384,1.90832977247,2.19647469746,61.2449607376,76.9384570442,119.597933574
2016-12-22,134.15385485,134.291265892,133.17234741,134.055698217,3470700.0,131.132212546,131.099963717,127.548615714,129.556526113,126.371522721,119.059804553,2.20719244616,2.79305792611,4.11616177826,6.83128393082,8.53911276559,9.74938799677,3.13266483132,4.49470247689,123.432453936,131.664777493,128.306905791,133.893021643,73.6413671139,62.6822327942,9676.87406076,2.01489385804,2.21890915324,55.4836816438,76.3720616593,131.366156533
2016-12-21,134.094966367,135.076473807,133.93792125,133.996809734,4272200.0,130.644263694,130.794995404,127.386125915,129.32816326,126.178924918,118.885560661,2.26550863776,2.92160057112,4.04678304005,7.38092417123,9.87396288408,10.2556397193,3.00659170563,4.31273381116,123.339342874,131.432908955,127.873394833,133.716595975,74.6073872018,64.1054588249,30150.2559885,2.10883898288,2.25326177342,50.571754291,75.77171241,161.329911395
2016-12-20,133.525690089,134.036077883,132.877891252,133.741623688,3166900.0,130.117054824,130.442353872,127.215198586,129.091198458,125.982975796,118.709976405,2.28405608801,3.11061045071,3.97884728915,0.21593359983,8.34281324059,12.0076717231,2.89353647669,4.12364819135,123.236351297,131.194045875,127.331743422,133.552964323,50.4986460071,61.5803953552,60538.4170612,2.57014761993,2.38716771175,45.8587866247,74.6211769093,122.642239971
