,OPEN,HIGH,LOW,CLOSE,VOLUME,14dSMA,28dSMA,60dSMA,14dEMA,28dEMA,60dEMA,14dSDev,28dSDev,60dSDev,14dMOM,28dMOM,60dMOM,30-60MACD,30-90MACD,60dBBand_low,60dBBand_high,28dBBand_low,28dBBand_high,14dRSI,28dRSI,PVT,14dATR,28dATR,14dSTOCH,28dSTOCH,OSC
2017-01-04,102.65549127,104.931970566,102.574191148,103.820831862,4739300.0,108.046641601,110.225214671,100.937465409,104.968975915,98.6740291878,89.0284717209,5.37303163287,5.27634934104,10.4941413766,-13.2523616131,-6.91429907242,13.8286225357,9.23643758668,13.6579736127,90.4433240324,111.431606786,104.94886533,115.501564012,21.2014066434,41.9599091023,141302.476397,3.29276488885,2.94139759646,28.3682753074,71.6553602562,-127.253077514
2017-01-03,101.869561184,102.167674278,99.6472864868,101.083631098,5361800.0,108.993238859,110.472153924,100.706988367,105.027251848,98.5450286346,88.8565927753,5.7269915426,5.12514775772,10.5812360619,-16.2876727606,-7.09231704324,13.0310227833,9.534860309,13.870044552,90.1257523048,111.288224429,105.347006166,115.597301682,10.4083981072,41.7186206924,-26516.5123608,3.16693791598,2.96366591889,32.7537583088,74.3223406344,-83.365020395
2016-12-30,102.574191148,103.495625954,99.9453968707,100.839722602,3712500.0,110.156644056,110.725450961,100.489804654,105.227416781,98.4814005644,88.7145214335,5.65046310388,4.80949872183,10.7063676507,-17.1549029684,-5.0194796611,13.5683450696,10.018985249,14.2509947528,89.7834370029,111.196172304,105.915952239,115.534949683,9.05559330173,44.4095952966,-120425.452655,3.07982773886,3.00353572775,38.3647881665,77.2325362838,-95.010312544
2016-12-29,103.549817002,105.067475286,100.948129088,101.923765782,4837300.0,111.381994268,110.904718092,100.263665569,105.450121389,98.4222910809,88.5736333823,5.3253291527,4.51170259511,10.8412959916,-16.9109917624,-7.16810212302,14.4099377844,10.0227246824,14.147915981,89.4223695775,111.104961561,106.393015497,115.416420687,9.16227039416,42.381220897,-203331.988976,2.9598092726,3.00373969498,44.5668497814,79.9205166069,-121.363781543
2016-12-28,107.127152449,107.154247973,102.059267792,103.658223488,4623700.0,112.589922251,111.160721739,100.023499939,105.629107347,98.3345293768,88.4185123159,4.91721490738,4.17395491203,10.9628261554,-13.0355567712,9.49049041765,15.6056151728,9.95317205185,14.1606056668,89.060673784,110.986326095,106.986766827,115.334676651,19.1270676998,57.8782786529,-123736.407206,2.83979099992,3.45985838942,51.1848457362,83.0287478996,-135.219151344
2016-12-27,107.045841487,108.184086555,106.178611279,106.476724373,2642300.0,113.521033449,110.821775653,99.7634063532,105.729142786,98.2010951792,88.2414354017,4.2900231903,5.09047297778,11.0598234516,-5.9080057907,13.844506399,18.4241160583,9.85111969827,14.1463786951,88.7035829016,110.823229805,105.731302675,115.91224863,36.9304493671,61.7427792138,-33110.4520311,2.79333204521,3.39046061287,57.5997185594,85.7360640776,2597.06825064
2016-12-23,107.208449861,108.156980191,105.311383782,106.530926261,3815700.0,113.943033863,110.327328996,99.4563377522,105.691198058,97.9936730549,88.0295515501,3.80719562209,6.10034569973,11.1258430847,-4.79686437685,13.7370809671,20.5526133592,9.56021446165,13.9095167457,88.3304946675,110.582180837,104.226983296,116.427674695,39.8392674532,61.6304672597,-301978.856352,2.75655199907,3.4390993103,63.7086578753,86.91405558,978.916800439
2016-12-22,112.411828398,113.197758484,106.449628849,107.425251993,6497500.0,114.285667033,109.836718961,99.1137941963,105.648576277,97.779693531,87.8145759311,3.26623982519,6.91497222602,11.2203249768,-0.804564695012,18.8877427476,20.7195876953,9.44844718751,13.8139490006,87.8934692195,110.334119173,102.921746735,116.751691187,48.4412833899,65.1299344846,-307233.55677,2.94583302061,3.52219435423,69.4863929329,88.0916758975,5.92443338279
2016-12-21,112.303432752,113.875282084,111.517502666,112.08661978,3516900.0,114.343135939,109.16215672,98.7684677347,105.55839819,97.5379352091,87.5867108514,3.14092080044,7.99572781168,11.2788779625,4.4494519556,19.1850184224,23.8454403867,9.17765139334,13.5364985395,87.4895897722,110.047345697,101.166428908,117.157884532,60.2334038869,65.4416083032,35346.4794702,2.61968392027,3.50535933912,74.7519666909,87.3543968175,-1239.11422639
2016-12-20,111.598800078,114.010784094,111.571704554,113.279055896,4248900.0,114.025317943,108.476977491,98.3710437282,105.227047605,97.1732838952,87.3020356222,3.58108290932,8.53937049421,11.2216090517,4.96841606243,24.3374715753,27.0313569001,8.75688046567,13.1028262526,87.1494346765,109.59265278,99.9376069965,117.016347985,61.7064330786,68.7532258424,12513.5710943,2.59751107076,3.5712410337,77.8374890752,87.8597222287,-971.36239552
