,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,119.250151513,121.117315247,118.705569871,119.4835392,4556500.0,117.072247748,105.511414888,2.34709194251,7.07141265507,16.5461710082,114.725155805,119.41933969,68.1274830542,13774.4787637,2.83408939309,81.9691269165
2013-12-31,119.172350255,119.950342909,118.549962356,119.172350255,2872100.0,116.819697296,105.161214602,2.45594675511,5.51814338357,16.8315208375,114.363750541,119.275644051,54.2207838601,19451.4579177,3.03969913078,78.1056034754
2013-12-30,118.861143812,119.794733411,118.394360682,119.094547047,2971800.0,116.622620746,104.810036528,2.48143527425,5.67323222701,17.1358619787,114.141185472,119.104056021,55.7993557412,-17815.4252855,3.13972575281,77.1383831037
2013-12-27,120.261529652,120.417126627,117.30518712,118.394365947,2870000.0,116.42000531,104.452006529,2.50363826464,4.81778710566,17.4591833728,113.916367045,118.923643574,57.1375056626,-35390.5706408,3.2005052566,75.5519994587
2013-12-26,119.950345585,120.183725492,118.861151183,119.872539317,2432500.0,116.247941484,104.102552277,2.52835424731,6.14069645311,17.7428606882,113.719587237,118.776295732,64.2115224852,3839.26113343,3.18893418945,73.4921391784
2013-12-24,119.405756164,120.028144074,118.861151183,119.872539317,1475000.0,116.028630897,103.707289979,2.46791149873,7.53804080126,18.0049029982,113.560719398,118.496542396,65.2293206797,13042.8322573,3.28299593837,68.2388838651
2013-12-23,120.028140929,120.261528611,118.238760165,119.561334446,4705700.0,115.759415154,103.302120743,2.44409701816,6.99394387868,18.1901773348,113.315318136,118.203512172,58.4399998085,173393.427635,3.50461611042,62.386699863
2013-12-20,117.771971248,119.950336581,117.071784892,119.327948709,10329000.0,115.509631444,102.894596365,2.39810831103,8.46843053391,18.3530404828,113.111523133,117.907739755,53.499225312,151700.814129,3.62629452624,58.1687094337
2013-12-19,118.238760462,118.705566945,115.438030479,117.460791148,4726700.0,115.207187496,102.482707338,2.43247865388,7.53283321777,18.4745115702,112.774708842,117.63966615,50.8937274366,124902.63267,3.56485419621,56.4951286604
2013-12-18,116.060413251,117.849770616,114.193249622,117.771972131,5979800.0,114.938157739,102.107293471,2.58573504081,8.77558240776,18.6995791526,112.352422698,117.523892779,47.0677359727,-16066.4723588,3.5532595176,56.0546668644
2013-12-17,118.316560135,118.316560135,115.1268223,115.1268223,5692200.0,114.624744081,101.714670644,2.75577783393,4.34494011742,18.9142819098,111.868966247,117.380521915,47.915453641,-118341.202837,3.53605943702,57.4600924954
2013-12-16,118.394361224,118.93894284,115.904809698,118.316562739,5305500.0,114.469567648,101.378505632,2.84727083371,6.99125249761,19.186040707,111.622296815,117.316838482,52.8107759809,-32248.2817441,3.53556664258,59.4662304019
2013-12-13,119.483540673,119.872540901,115.827019439,117.538578431,6428300.0,114.219880059,100.953966579,2.80362884454,6.21326818999,19.2730581353,111.416251215,117.023508904,51.4394432136,583059.116809,3.46855726731,59.267798805
2013-12-12,115.049023097,119.172350722,114.271038221,118.783366064,11460200.0,113.997977624,100.538286352,2.77698926394,10.5632805256,19.3204352011,111.22098836,116.774966888,55.0314436422,247606.811965,3.29603631058,60.969089409
2013-12-11,117.071794352,117.538577508,112.248295805,112.403877224,9943700.0,113.620717605,100.080987807,2.81999516722,6.1245481667,19.3108232902,110.800722438,116.440712772,49.9843801733,-356273.751896,3.09536970191,61.1918884786
