,OPEN,HIGH,LOW,CLOSE,VOLUME,28DSMA,28DEMA,28DSDEV,28DMOM,30-90MACD,28DBBAND_LOW,28DBBAND_HIGH,14DRSI,PVT,14DATR,14DSTOCH
2014-01-02,59.0884869013,59.1460360349,58.110151624,58.2827990256,6353900.0,56.9969260796,54.1705776209,1.53178653766,3.53631845072,3.84392364266,55.4651395419,58.5287126172,64.8000150307,-66227.9596726,1.07288092683,84.8344151648
2013-12-31,58.8582879897,59.4337793116,58.8007388579,59.0309353864,3652500.0,56.8706289921,54.067508032,1.56721502144,3.99794064659,3.81627450321,55.3034139706,58.4378440135,67.499984432,8454.81720706,1.0852128783,85.6786275546
2013-12-30,58.973386034,59.2611316944,58.6856403737,58.8007386379,2991500.0,56.7278453975,53.9431036367,1.54507023123,3.53853625233,3.77168187827,55.1827751663,58.2729156288,69.5312083,-15598.7503756,1.15098329593,86.386622206
2013-12-27,59.3186809368,59.433779201,58.8007387479,58.9158370122,2506300.0,56.6014691028,53.8213508434,1.51363641699,3.48172121284,3.76778615172,55.0878326858,58.1151055198,66.9172799562,-12708.7476184,1.19208982252,85.8497702017
2013-12-26,59.491328554,59.6639759507,58.9733863639,59.1460337606,3039300.0,56.4771219166,53.6936615622,1.45847514429,3.13888963154,3.766446119,55.0186467723,57.9355970609,73.3333333333,-4855.26459504,1.24552860438,86.0300262358
2013-12-24,59.3762272659,59.7790711764,59.146030746,59.203579876,1957500.0,56.3650187155,53.5570021497,1.36326069176,2.90992158203,3.74020486376,55.0017580238,57.7282794073,69.1823202639,67576.0556441,1.27430364659,83.1312858151
2013-12-23,58.8582882084,59.3762303997,58.5129934144,59.2611321349,5040800.0,56.2610929447,53.4154751287,1.2446061295,3.8843167111,3.72483008553,55.0164868152,57.5056990742,73.9130005958,134604.445627,1.35651669933,81.2952976478
2013-12-20,58.6856400425,59.0309348329,57.9950504613,58.4554435152,13165600.0,56.1223673479,53.2689583424,1.10666426895,2.39099901059,3.7247079665,55.015703079,57.2290316168,64.8935801727,65127.3370889,1.41406577916,75.4699675089
2013-12-19,57.9950532498,58.5705445883,57.5346601786,58.1677006514,6718200.0,56.0369745261,53.1389631787,1.00780276607,1.75943546281,3.62221351785,55.02917176,57.0447772922,64.1304183864,239563.16002,1.43872992006,71.608963636
2013-12-18,57.1893653754,58.2252497851,55.8081861625,58.1677006514,12504500.0,55.9741375453,53.0129218367,0.921156650845,4.96839779552,3.56494911585,55.0529808944,56.8952941961,62.5994463624,34108.3156052,1.43050861275,67.4050972851
2013-12-17,57.9374999859,57.9950491165,56.7289682397,57.0742630245,10929600.0,55.7966947669,52.8837213679,0.960645629337,2.72890350909,3.49492255915,54.8360491375,56.7573403962,57.3955532175,-11895.3145246,1.31516402498,65.0062781333
2013-12-16,57.0742671081,58.3978971867,57.0742671081,58.1677006514,8312500.0,55.6992339273,52.7786887435,0.964651401467,4.39536332228,3.43456463449,54.7345825258,56.6638853287,63.6743827097,164957.895186,1.27379329516,64.5921886755
2013-12-13,56.9016154066,57.3620084514,56.4412223619,56.844066276,7091400.0,55.5422566657,52.6436174068,0.903789209393,3.41554963083,3.35374518621,54.6384674564,56.4460458751,54.1139377613,183108.872246,1.24466652892,62.7428117949
2013-12-12,56.0959278019,57.5346560705,56.0383786707,57.0742630245,12911000.0,55.4202727504,52.538336466,0.950849322902,3.41653873349,3.30931229213,54.4694234275,56.3711220733,56.9568049942,118501.224012,1.25257113938,62.8479634091
2013-12-11,57.0167129816,57.0167129816,55.8081812501,56.1534760306,11461800.0,55.2982535099,52.4246470413,0.949953205957,2.49575173965,3.24517666429,54.3483003039,56.2482067158,58.41097126,51278.8007113,1.26848592043,62.1352807478
2013-12-10,55.7506325717,56.9016151793,55.3477886588,56.6138695276,11700600.0,55.2091195192,52.3311868811,0.98324055627,3.01344561215,3.21746008292,54.2258789629,56.1923600754,59.6510507109,76838.5715601,1.24355809608,60.3622182011
2013-12-09,56.4412276373,56.5563259071,55.4053432141,55.9232854257,9458900.0,55.1014964616,52.2238448154,0.988692299421,1.57792591028,3.19289163305,54.1128041622,56.090188761,54.2767548061,96444.0489099,1.2226177647,57.8688561249
2013-12-06,55.9808318685,56.4987740617,55.5779879402,56.3261266637,7483800.0,55.0451419648,52.1311212518,0.985079791062,1.52234571323,3.1715836041,54.0600621737,56.0302217559,55.9484323892,61614.3019706,1.22635893013,57.2429642853
2013-12-05,55.3477871794,55.693081955,54.5996484995,55.1175906626,9917300.0,54.990772475,52.025976747,0.953257251027,0.600323876949,3.14951282615,54.037515224,55.9440297261,43.5186014116,265676.703173,1.19319190317,56.0079863861
2013-12-04,54.5421059873,55.923285215,54.1392620461,55.6930886772,13335000.0,54.9693323366,51.9484878805,0.957042845075,1.51963643205,3.15745930009,54.0122894915,55.9263751817,45.4318006155,143676.321682,1.16829878917,58.4594221787
2013-12-03,55.1175959466,55.4053416137,53.6788676117,54.1968098122,11969100.0,54.9150596069,51.8546324124,0.957567602474,0.080657942635,3.15833870724,53.9574920044,55.8726272093,40.1566740736,-210758.299633,1.15956724913,60.1105905246
2013-12-02,55.5779899854,56.5563252657,55.2326951803,55.2326951803,13154600.0,54.9121789661,51.7959275816,0.959926747165,1.00193641606,3.16260925522,53.9522522189,55.8721057132,42.6337558721,-10509.4889273,1.13448107598,63.5488800893
2013-11-29,55.5204377118,55.9808307651,55.0600446578,55.1751429214,5186700.0,54.8763955226,51.70978771,0.966190550003,1.4028055923,3.15403580351,53.9102049726,55.8425860726,39.6060963207,-49481.4579557,1.10950023841,66.8080686827
2013-11-27,55.8925383102,56.1217495653,55.3195101715,55.4341157993,8167700.0,54.8262953229,51.6229313125,0.986286835235,1.43257082438,3.13655694658,53.8400084877,55.8125821581,62.580658995,-43938.6505283,1.27703412055,71.6001702556
2013-11-26,55.949839947,56.1217483863,55.2622061921,55.6060230696,9086400.0,54.7751320792,51.5274069766,0.990735583653,1.89099225949,3.04008025583,53.7843964955,55.7658676628,56.3953542731,-123883.342341,1.35889527699,68.699566908
2013-11-25,56.1790462941,56.8666800041,55.7206238207,55.7206238207,12891400.0,54.7075966413,51.4251796784,0.99643372945,4.35500670523,2.88122968674,53.7111629119,55.7040303708,59.4443967951,-71600.5515579,1.37526750748,68.7915617842
2013-11-22,56.0644457733,56.3509598386,55.3195092026,56.1790513993,8200300.0,54.5520606876,51.3175177559,1.15907063262,6.41791852194,2.75412078027,53.392990055,55.7111313202,63.4831416685,326500.80864,1.41619810083,68.5049092442
2013-11-21,55.032992632,56.4082600993,54.689175765,55.94983761,13325700.0,54.3228493118,51.1956672462,1.42864657942,5.78757752962,2.62058502741,52.8942027324,55.7514958912,61.2359631772,232605.457311,1.42029115919,67.2160248352
2013-11-20,55.0329946384,55.2622058892,54.4026636987,54.7464805749,11582400.0,54.1161501143,51.0765077125,1.59367921071,4.8707408029,2.47808741744,52.5224709036,55.709829325,56.0509723771,-107808.050648,1.36708140511,66.9244435148
2013-11-19,55.2622059912,55.6060228674,54.3453609862,55.0329947398,11454100.0,53.9421950856,50.9845227347,1.77754966639,5.90219056776,2.29480976712,52.1646454192,55.719744752,58.1699415104,-80605.2430038,1.38754669211,68.7417451068
2013-11-18,55.7206248651,56.121744535,54.918385526,55.2622023856,10672500.0,53.7314025654,50.8830509742,1.98164668766,8.366211157,2.08039374538,51.7497558777,55.713049253,54.9382609835,-169443.728103,1.38345363345,70.2245133649
2013-11-15,56.1217495653,56.2936580071,55.3768129854,55.4341157993,13326300.0,53.4326093098,50.773290995,2.34051806264,8.88193296768,1.88763388395,51.0920912471,55.7731273724,53.2934362389,-177299.699607,1.37526752003,72.2008895855
2013-11-14,56.580172269,56.580172269,55.8352356873,56.0071441291,8046500.0,53.115397418,50.6564710942,2.64171279438,8.5954249463,1.74129058279,50.4736846237,55.7571102124,58.0247207712,89456.3567971,1.37936057443,74.3723475731
2013-11-13,55.3768132686,56.293658294,54.6318766857,56.293658294,7876700.0,52.8084179557,50.5223606911,2.78856516017,7.79318282725,1.5319764604,50.0198527955,55.5969831158,61.3497162522,54726.6145769,1.37936057141,75.6483011036
2013-11-12,55.9498435815,56.4082661071,55.0329985291,55.3768154238,6170700.0,52.5300899976,50.3777076647,2.81659756803,7.96509624097,1.30486033325,49.7134924295,55.3466875656,57.4324515213,-123226.800401,1.31387163962,76.3312021349
2013-11-11,56.5228670014,56.8666838745,55.8352332563,56.0644445047,7800100.0,52.2456222747,50.2524089682,2.91880906448,8.8246325921,1.1172279008,49.3268132102,55.1644313392,61.5941826318,621123.92922,1.26475493929,78.5304002823
2013-11-08,53.3712159913,56.4082651886,53.1420047313,56.4082651886,11085400.0,51.930456825,50.1067348775,2.96721946435,8.53812457072,0.883778854482,48.9632373606,54.8976762893,66.4285812745,469820.502818,1.25656882714,79.6539597994
2013-11-07,54.5745703263,55.0902956284,53.1420000444,53.1993028559,9429200.0,51.6255238046,49.9487919861,2.92847078212,6.07409783799,0.671178986309,48.6970530225,54.5539945867,42.0453991676,-118420.383669,1.07238120852,79.0587251755
2013-11-06,54.3453595154,54.5172679504,53.4285145294,54.3453595154,7547200.0,51.4085917389,49.8673204927,3.03076101172,7.44936828679,0.527971051829,48.3778307272,54.4393527506,57.5342526109,141811.279444,1.05600898141,84.3097545213
2013-11-05,53.0274007167,54.4026683088,52.6835838184,53.7723373291,9539000.0,51.1425428715,49.7550819734,3.08980339044,6.99094685169,0.390447897828,48.0527394811,54.232346262,70.1923721222,27717.8236247,1.1583354363,86.6353393502
2013-11-04,53.7723335251,54.0588475917,52.9700941387,53.4285166452,7881500.0,50.8928661983,49.6543926336,3.15127399125,6.01679746241,0.272605565796,47.741592207,54.0441401895,75.3968942778,-33667.1016946,1.24838310071,87.8308647788
2013-11-01,53.7150271012,54.2880552055,53.3139074283,53.657724291,8735600.0,50.6779805746,49.5597971894,3.17700177674,6.41791237844,0.15031780096,47.5009787979,53.8549823513,73.6433644661,11482.2202707,1.23610392283,89.508987222
2013-10-31,53.4858158596,54.4026608266,53.2566046181,53.657724291,10740800.0,50.4487694182,49.4570858759,3.18556502244,6.70442654332,0.0738156594824,47.2632043958,53.6343344407,74.6268417886,-133734.368902,1.24019698852,91.207400413
2013-10-30,54.3453604762,54.6891773506,53.4858182906,53.6004239154,10594000.0,50.2093256131,49.3518001843,3.18739914438,5.50106950823,0.0131857145311,47.0219264687,53.3967247575,76.7123096546,-219965.914079,1.26884839531,92.8423870851
2013-10-29,54.8610848199,55.0329932549,53.9442398339,54.3453595154,8936200.0,50.012858845,49.2453117785,3.13981901281,6.07409169449,0.0613516008019,46.8730398322,53.1526778578,87.7906694076,-28203.6797878,1.3466167307,94.3901331396
2013-10-28,54.3453584642,55.147597815,54.1734500317,54.8037809505,8856600.0,49.7959269987,49.117483101,3.03756375338,3.83928489455,0.0961751816865,46.7583632454,52.8334907521,92.3528907242,108563.50015,1.35480284294,91.4172197173
2013-10-25,54.4599639748,54.7464780284,54.0015414891,54.5172667856,9771900.0,49.6588096811,48.9749605264,2.88600676317,3.2662565648,0.118216607384,46.7728029179,52.5448164442,84.4444470916,73266.553413,1.40801260839,86.2337289793
2013-10-24,54.2307550579,54.4599663081,53.7150297448,54.1734522452,10623600.0,49.5421576609,48.8360469876,2.7449173751,3.32356308387,0.128808811474,46.7972402858,52.287075036,75.6476545783,-15315.0878621,1.44485033546,81.6835858947
2013-10-23,53.944243426,54.4026659417,53.7150321684,54.1161518696,12569700.0,49.4234589793,48.7022691308,2.60555103499,3.7246841434,0.141336557717,46.8179079443,52.0290100143,77.7251151121,125967.035324,1.49806009257,78.3777164614
2013-10-22,53.8296390557,54.5172728419,53.6004277938,54.2307587642,17891700.0,49.2904345456,48.5665744263,2.44737499331,3.83929103805,0.177399486277,46.8430595523,51.737809539,78.7735870526,113182.088079,1.53489761173,73.9806472402
2013-10-21,53.8296401455,54.0588514111,53.3712176144,53.7723373291,9270600.0,49.1533170086,48.4246061095,2.26077202654,2.86514164877,0.226830181596,46.892544982,51.4140890351,73.9535083183,23634.2073461,1.53489760835,69.3049841111
2013-10-18,54.3453618561,54.4599674827,52.7408830783,54.0015449749,11807900.0,49.0509905211,48.2905694406,2.10332185245,2.63592785947,0.240682124002,46.9476686687,51.1543123736,76.7857091576,783043.40128,1.58401429819,65.6385119144
2013-10-17,52.1678548487,53.7150308101,51.1937070205,53.7150308101,15742800.0,48.9568502404,48.1474283393,1.9249661458,3.20896233272,0.244927142356,47.0318840946,50.8818163862,76.681613703,1310507.53569,1.60857264154,60.9933194374
2013-10-16,50.7925889682,52.7408846695,50.1622580057,51.3656171155,18312000.0,48.8422444428,48.0078807708,1.71529486733,1.37527044881,0.227598186701,47.1269495755,50.5575393102,71.7391253681,521232.560183,1.53080453007,54.949362388
2013-10-15,50.0476469286,50.3341609792,49.4173160165,49.7611328774,8655500.0,48.7931276411,47.9237217554,1.65913370073,0.114600751155,0.216070464882,47.1339939403,50.4522613418,62.2754425666,-24126.222543,1.40801239468,49.9357784912
